Country,Year,Sex,Age group,Sum of Obesity (Prevalence of BMI>2SD),Sum of Overweight (Prevalence of BMI>1SD),Sum of Underweight (Prevalence of BMI<minus1SD),Sum of GDP per Capita,Sum of Government Expenditure,Sum of Death due to illness / nutrition condition,Sum of Population
China,2001,Girls,12,0.010200751,0.080438998,0.295205838,,,126.73211005623116,28145415570.313015
China,2001,Boys,13,0.02234533,0.111779283,0.286836116,,,126.73211005623116,28145415570.313015
China,2001,Girls,13,0.007445651,0.072441193,0.270550542,,,126.73211005623116,28145415570.313015
China,2001,Boys,14,0.016342914,0.095787935,0.288870207,,,126.73211005623116,28145415570.313015
China,2001,Girls,14,0.005513702,0.064999524,0.244800626,,,126.73211005623116,28145415570.313015
China,2001,Boys,15,0.012042192,0.081889138,0.289088078,,,126.73211005623116,28145415570.313015
China,2001,Girls,15,0.00428147,0.058677506,0.222533145,,,126.73211005623116,28145415570.313015
China,2001,Boys,16,0.009199641,0.070920105,0.28808911,,,126.73211005623116,28145415570.313015
China,2001,Girls,16,0.003617949,0.053925865,0.206888007,,,126.73211005623116,28145415570.313015
China,2001,Boys,17,0.007536936,0.063330829,0.286639176,,,126.73211005623116,28145415570.313015
China,2001,Girls,17,0.00346585,0.051214341,0.200153027,,,126.73211005623116,28145415570.313015
China,2001,Boys,18,0.00682792,0.060037031,0.284948204,,,126.73211005623116,28145415570.313015
China,2001,Girls,18,0.00382997,0.050953177,0.204094876,,,126.73211005623116,28145415570.313015
China,2001,Boys,19,0.007643956,0.082117214,0.273288818,,,126.73211005623116,28145415570.313015
China,2001,Girls,19,0.003867858,0.053614928,0.212609358,,,126.73211005623116,28145415570.313015
China,2002,Boys,5,0.058516451,0.153250017,0.190044851,,,126.73211005623116,28145415570.313015
China,2002,Girls,5,0.032517536,0.106649746,0.220392343,,,126.73211005623116,28145415570.313015
China,2002,Boys,6,0.062648881,0.149070903,0.207556494,,,126.73211005623116,28145415570.313015
China,2002,Girls,6,0.032318339,0.105511784,0.226902095,,,126.73211005623116,28145415570.313015
China,2002,Boys,7,0.064993639,0.15357102,0.223058184,,,126.73211005623116,28145415570.313015
China,2002,Girls,7,0.031094551,0.106421814,0.247169848,,,126.73211005623116,28145415570.313015
China,2002,Boys,8,0.064595516,0.161312073,0.23687566,,,126.73211005623116,28145415570.313015
China,2002,Girls,8,0.028581965,0.107195412,0.274652733,,,126.73211005623116,28145415570.313015
China,2002,Boys,9,0.060799568,0.167273772,0.249173486,,,126.73211005623116,28145415570.313015
China,2002,Girls,9,0.024867333,0.106087682,0.300479927,,,126.73211005623116,28145415570.313015
China,2002,Boys,10,0.053506239,0.165862646,0.259994016,,,126.73211005623116,28145415570.313015
China,2002,Girls,10,0.020332202,0.101811242,0.313288644,,,126.73211005623116,28145415570.313015
China,2002,Boys,11,0.043987844,0.155633587,0.269089331,,,126.73211005623116,28145415570.313015
China,2002,Girls,11,0.015709,0.09472981,0.308640365,,,126.73211005623116,28145415570.313015
China,2002,Boys,12,0.034245418,0.139932554,0.276047506,,,126.73211005623116,28145415570.313015
China,2002,Girls,12,0.011693749,0.086336174,0.291157986,,,126.73211005623116,28145415570.313015
China,2002,Boys,13,0.025675673,0.122143834,0.280677131,,,126.73211005623116,28145415570.313015
China,2002,Girls,13,0.008583731,0.077749673,0.266822715,,,126.73211005623116,28145415570.313015
China,2002,Boys,14,0.018920931,0.1048918,0.28308512,,,126.73211005623116,28145415570.313015
China,2002,Girls,14,0.006389009,0.069779066,0.241377684,,,126.73211005623116,28145415570.313015
China,2002,Boys,15,0.014039695,0.08986648,0.283645508,,,126.73211005623116,28145415570.313015
China,2002,Girls,15,0.004981705,0.06302299,0.219370219,,,126.73211005623116,28145415570.313015
China,2002,Boys,16,0.010789651,0.077989885,0.282931424,,,126.73211005623116,28145415570.313015
China,2002,Girls,16,0.004221102,0.057960258,0.203915726,,,126.73211005623116,28145415570.313015
China,2002,Boys,17,0.008877873,0.069768365,0.2816965,,,126.73211005623116,28145415570.313015
China,2002,Girls,17,0.004046593,0.055092231,0.1972803,,,126.73211005623116,28145415570.313015
China,2002,Boys,18,0.00805928,0.066198139,0.280132725,,,126.73211005623116,28145415570.313015
China,2002,Girls,18,0.004464614,0.054856791,0.201214286,,,126.73211005623116,28145415570.313015
China,2002,Boys,19,0.008914296,0.089348969,0.268355377,,,126.73211005623116,28145415570.313015
China,2002,Girls,19,0.004476211,0.057473582,0.209775033,,,126.73211005623116,28145415570.313015
China,2003,Boys,5,0.065517093,0.16699747,0.184275482,,,126.73211005623116,28145415570.313015
China,2003,Girls,5,0.036413764,0.114890726,0.216288892,,,126.73211005623116,28145415570.313015
China,2003,Boys,6,0.0700955,0.162898775,0.201449728,,,126.73211005623116,28145415570.313015
China,2003,Girls,6,0.036217077,0.1137436,0.222728595,,,126.73211005623116,28145415570.313015
China,2003,Boys,7,0.07268412,0.167783962,0.216579788,,,126.73211005623116,28145415570.313015
China,2003,Girls,7,0.034891121,0.114680482,0.242769871,,,126.73211005623116,28145415570.313015
China,2003,Boys,8,0.072271675,0.175954299,0.23003484,,,126.73211005623116,28145415570.313015
China,2003,Girls,8,0.032143176,0.115405856,0.269993081,,,126.73211005623116,28145415570.313015
China,2003,Boys,9,0.068154521,0.182119667,0.242057305,,,126.73211005623116,28145415570.313015
China,2003,Girls,9,0.028057258,0.114087714,0.295659348,,,126.73211005623116,28145415570.313015
China,2003,Boys,10,0.060213652,0.180431179,0.252786345,,,126.73211005623116,28145415570.313015
China,2003,Girls,10,0.02304206,0.109391477,0.308509952,,,126.73211005623116,28145415570.313015
China,2003,Boys,11,0.049794698,0.169401474,0.262004666,,,126.73211005623116,28145415570.313015
China,2003,Girls,11,0.017899073,0.101727733,0.304089959,,,126.73211005623116,28145415570.313015
China,2003,Boys,12,0.03904708,0.152543632,0.269245186,,,126.73211005623116,28145415570.313015
China,2003,Girls,12,0.013402228,0.092689173,0.286930788,,,126.73211005623116,28145415570.313015
China,2003,Boys,13,0.029506254,0.133423554,0.274244958,,,126.73211005623116,28145415570.313015
China,2003,Girls,13,0.009894792,0.08346904,0.262946961,,,126.73211005623116,28145415570.313015
China,2003,Boys,14,0.021914614,0.114836782,0.277043423,,,126.73211005623116,28145415570.313015
China,2003,Girls,14,0.007403342,0.074929271,0.237836206,,,126.73211005623116,28145415570.313015
China,2003,Boys,15,0.016379496,0.09861085,0.277964519,,,126.73211005623116,28145415570.313015
China,2003,Girls,15,0.005796949,0.067706913,0.216112405,,,126.73211005623116,28145415570.313015
China,2003,Boys,16,0.012665709,0.085762761,0.277551896,,,126.73211005623116,28145415570.313015
China,2003,Girls,16,0.004925341,0.062311246,0.20086466,,,126.73211005623116,28145415570.313015
China,2003,Boys,17,0.010468345,0.076863647,0.276544559,,,126.73211005623116,28145415570.313015
China,2003,Girls,17,0.004724967,0.059277677,0.194336502,,,126.73211005623116,28145415570.313015
China,2003,Boys,18,0.009523483,0.072997252,0.275115223,,,126.73211005623116,28145415570.313015
China,2003,Girls,18,0.00520428,0.059073619,0.198261368,,,126.73211005623116,28145415570.313015
China,2003,Boys,19,0.010407123,0.097202906,0.263236761,,,126.73211005623116,28145415570.313015
China,2003,Girls,19,0.005181131,0.061626313,0.206866622,,,126.73211005623116,28145415570.313015
China,2004,Boys,5,0.0732527,0.181719676,0.178349042,,,126.73211005623116,28145415570.313015
China,2004,Girls,5,0.040696887,0.123676033,0.212034945,,,126.73211005623116,28145415570.313015
China,2004,Boys,6,0.078313504,0.177744744,0.195153223,,,126.73211005623116,28145415570.313015
China,2004,Girls,6,0.040507257,0.122526803,0.218397284,,,126.73211005623116,28145415570.313015
China,2004,Boys,7,0.081164322,0.183033872,0.209885876,,,126.73211005623116,28145415570.313015
China,2004,Girls,7,0.039076253,0.123493036,0.23819112,,,126.73211005623116,28145415570.313015
China,2004,Boys,8,0.080740601,0.19163548,0.222958056,,,126.73211005623116,28145415570.313015
China,2004,Girls,8,0.03608044,0.124165757,0.265127678,,,126.73211005623116,28145415570.313015
China,2004,Boys,9,0.076290353,0.197994218,0.234689189,,,126.73211005623116,28145415570.313015
China,2004,Girls,9,0.031599092,0.122622874,0.290610968,,,126.73211005623116,28145415570.313015
China,2004,Boys,10,0.067673303,0.196013557,0.245313962,,,126.73211005623116,28145415570.313015
China,2004,Girls,10,0.026067873,0.117481024,0.303498351,,,126.73211005623116,28145415570.313015
China,2004,Boys,11,0.056304743,0.184163662,0.254646745,,,126.73211005623116,28145415570.313015
China,2004,Girls,11,0.020360947,0.10919941,0.29932075,,,126.73211005623116,28145415570.313015
China,2004,Boys,12,0.044482298,0.166115788,0.262168372,,,126.73211005623116,28145415570.313015
China,2004,Girls,12,0.015336431,0.099475082,0.282510926,,,126.73211005623116,28145415570.313015
China,2004,Boys,13,0.033886921,0.145613446,0.267545332,,,126.73211005623116,28145415570.313015
China,2004,Girls,13,0.011389313,0.089580028,0.258909328,,,126.73211005623116,28145415570.313015
China,2004,Boys,14,0.025372613,0.12562773,0.270747754,,,126.73211005623116,28145415570.313015
China,2004,Girls,14,0.008566697,0.080433879,0.23416227,,,126.73211005623116,28145415570.313015
China,2004,Boys,15,0.019106806,0.108133584,0.272046063,,,126.73211005623116,28145415570.313015
China,2004,Girls,15,0.006736511,0.072715578,0.21274618,,,126.73211005623116,28145415570.313015
China,2004,Boys,16,0.014869021,0.094253904,0.271950992,,,126.73211005623116,28145415570.313015
China,2004,Girls,16,0.00573948,0.066967376,0.197721722,,,126.73211005623116,28145415570.313015
China,2004,Boys,17,0.012346327,0.084634032,0.271184144,,,126.73211005623116,28145415570.313015
China,2004,Girls,17,0.005509754,0.063761163,0.191308696,,,126.73211005623116,28145415570.313015
China,2004,Boys,18,0.011256763,0.080452519,0.269897268,,,126.73211005623116,28145415570.313015
China,2004,Girls,18,0.006058291,0.063595644,0.195222542,,,126.73211005623116,28145415570.313015
China,2004,Boys,19,0.012154144,0.105679334,0.257935795,,,126.73211005623116,28145415570.313015
China,2004,Girls,19,0.005990858,0.066062713,0.203866569,,,126.73211005623116,28145415570.313015
China,2005,Boys,5,0.081718326,0.197337695,0.172291833,,,126.73211005623116,28145415570.313015
China,2005,Girls,5,0.045386273,0.132988246,0.207641464,,,126.73211005623116,28145415570.313015
China,2005,Boys,6,0.087291073,0.193528949,0.188695944,,,126.73211005623116,28145415570.313015
China,2005,Girls,6,0.045207606,0.131843431,0.213919021,,,126.73211005623116,28145415570.313015
China,2005,Boys,7,0.090417933,0.199234383,0.203009072,,,126.73211005623116,28145415570.313015
China,2005,Girls,7,0.043669052,0.132840918,0.233443962,,,126.73211005623116,28145415570.313015
China,2005,Boys,8,0.08998552,0.208262229,0.215681705,,,126.73211005623116,28145415570.313015
China,2005,Girls,8,0.040414144,0.13345674,0.260065797,,,126.73211005623116,28145415570.313015
China,2005,Boys,9,0.085194924,0.214801429,0.227107904,,,126.73211005623116,28145415570.313015
China,2005,Girls,9,0.035514816,0.131676063,0.285342421,,,126.73211005623116,28145415570.313015
China,2005,Boys,10,0.075882835,0.21251998,0.237614816,,,126.73211005623116,28145415570.313015
China,2005,Girls,10,0.029432707,0.12606495,0.298259947,,,126.73211005623116,28145415570.313015
China,2005,Boys,11,0.063528231,0.199845106,0.247049274,,,126.73211005623116,28145415570.313015
China,2005,Girls,11,0.023117643,0.117132275,0.294338121,,,126.73211005623116,28145415570.313015
China,2005,Boys,12,0.050573054,0.180592837,0.254844579,,,126.73211005623116,28145415570.313015
China,2005,Girls,12,0.017518137,0.106683307,0.277903964,,,126.73211005623116,28145415570.313015
China,2005,Boys,13,0.038847907,0.158676111,0.260599261,,,126.73211005623116,28145415570.313015
China,2005,Girls,13,0.013087041,0.096073576,0.254716152,,,126.73211005623116,28145415570.313015
China,2005,Boys,14,0.029329226,0.137243114,0.264213501,,,126.73211005623116,28145415570.313015
China,2005,Girls,14,0.009896599,0.086285124,0.230363135,,,126.73211005623116,28145415570.313015
China,2005,Boys,15,0.022256673,0.118424956,0.265901344,,,126.73211005623116,28145415570.313015
China,2005,Girls,15,0.007816052,0.078042492,0.209279566,,,126.73211005623116,28145415570.313015
China,2005,Boys,16,0.017433609,0.103461475,0.266137211,,,126.73211005623116,28145415570.313015
China,2005,Girls,16,0.006678061,0.071923558,0.194495438,,,126.73211005623116,28145415570.313015
China,2005,Boys,17,0.014544484,0.093082289,0.265622325,,,126.73211005623116,28145415570.313015
China,2005,Girls,17,0.006415414,0.068539207,0.188205661,,,126.73211005623116,28145415570.313015
China,2005,Boys,18,0.013291028,0.088568193,0.264485777,,,126.73211005623116,28145415570.313015
China,2005,Girls,18,0.007042144,0.068420965,0.192106482,,,126.73211005623116,28145415570.313015
